22	38	Daily Express	30/06/2018	en	https://www.express.co.uk/sport/football/981690/Chelsea-transfer-news-Willian-Man-Utd-Barcelona
3	39	Daily Star	30/06/2018	en	https://www.dailystar.co.uk/sport/football/713214/Man-Utd-Arsenal-Marouane-Fellaini-transfer-news-contract-decision-AFC-MUFC-Mourinho-Emery
19	40	Sport Witness	29/06/2018	en	http://sportwitness.co.uk/exclusive-20-year-old-still-future-manchester-united-amid-la-liga-rumours/
23	41	Daily Star	29/06/2018	en	https://www.dailystar.co.uk/sport/football/713113/Celtic-transfer-news-Brendan-Rodgers-gives-update-Liverpool-Danny-Ings
24	42	Talksport	29/06/2018	en	https://talksport.com/football/392647/william-carvalho-to-have-crisis-talks-with-sporting-club-amid-transfer-interest-from-everton-and-inter/
25	43	Talksport	29/06/2018	en	https://talksport.com/football/392542/manchester-united-transfer-news-marouane-fellaini-old-trafford/
21	44	Talksport	29/06/2018	en	https://talksport.com/football/392374/chelsea-reject-barcelona-offer-willian/
26	45	Daily Mail	29/06/2018	en	http://www.dailymail.co.uk/sport/football/article-5902667/Southampton-launch-bid-beat-West-Ham-defender-Marlon-Santos.html
27	46	Futebol 365	29/06/2018	pt	http://www.futebol365.pt/artigo/191817-mercado-fc-porto-quer-raul-silva-e-o-braga-ate-ja-definiu-o-preco/
28	47	O Jogo	29/06/2018	pt	https://www.ojogo.pt/futebol/1a-liga/porto/noticias/interior/imprensa-brasileira-associa-roger-guedes-ao-fc-porto-9531489.html
17	48	O Jogo	28/06/2018	pt	https://www.ojogo.pt/internacional/cristiano-ronaldo/noticias/interior/real-madrid-desmente-reducao-da-clausula-de-rescisao-de-ronaldo-9525030.html
29	49	ZeroZero	29/06/2018	pt	http://www.zerozero.pt/news.php?id=224817
27	50	ZeroZero	29/06/2018	pt	http://www.zerozero.pt/news.php?id=224765
30	51	Mundo Deportivo	30/06/2018	es	https://www.mundodeportivo.com/futbol/betis/20180630/45502046782/betis-gelson-martins-fichajes-mercado-fichajes.html
21	52	Mundo Deportivo	30/06/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180630/45489109930/las-claves-de-la-operacion-willian.html
25	53	Mundo Deportivo	29/06/2018	es	https://www.mundodeportivo.com/futbol/20180629/45478681108/adan-betis-atletico-fichajes-mercado.html
8	54	Fichajes.com	30/06/2018	es	http://www.fichajes.com/liga/la-ultima-maniobra-del-sevilla-para-alejar-a-clement-lenglet-del-fc-barcelona_137149
26	55	Marca	29/06/2018	es	http://www.marca.com/futbol/barcelona/2018/06/29/5b36528922601dac218b45c5.html
30	56	Marca	30/06/2018	es	http://www.marca.com/futbol/betis/2018/06/30/5b374721e2704e582f8b4591.html
31	57	Liverpool Echo	01/07/2018	en	https://www.liverpoolecho.co.uk/sport/football/transfer-news/everton-target-ruben-loftus-cheek-14852331
26	58	Sky Sports	30/06/2018	en	http://www.skysports.com/football/news/11095/11422102/southampton-bid-10m-for-barcelona-defender-marlon
20	59	90 min	29/06/2018	en	https://www.90min.com/posts/6103926-spurs-readying-offer-for-flying-colombia-star-after-impressive-world-cup-performances
32	60	Daily Mirror	30/06/2018	en	https://www.mirror.co.uk/sport/football/transfer-news/thibaut-courtois-eyeing-real-madrid-12824984
32	61	Marca	30/06/2018	es	http://www.marca.com/futbol/real-madrid/2018/06/30/5b366cf5268e3e7e138b4595.html
33	62	Fichajes.com	30/06/2018	es	http://www.fichajes.com/liga/el-real-madrid-se-lanza-a-por-thibaut-courtois_137170
17	63	Fichajes.com	30/06/2018	es	http://www.fichajes.com/liga/las-firmes-intenciones-del-real-madrid-con-cristiano-ronaldo_137176
26	64	Mundo Deportivo	01/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180701/45550744198/el-southampton-sube-su-oferta-por-marlon.html
33	65	Fichajes.com	30/06/2018	es	http://www.fichajes.com/breves/el-tottenham-se-mantiene-vivo-en-la-carrera-por-anthony-martial_137117
8	66	Marca	30/06/2018	es	http://www.marca.com/futbol/sevilla/2018/06/30/5b37340ae2704e42b88b45fa.html
34	67	ZeroZero	01/07/2018	pt	http://www.zerozero.pt/news.php?id=224884
35	68	ZeroZero	01/07/2018	pt	http://www.zerozero.pt/news.php?id=224885
5	69	Sky Sports	01/07/2018	en	http://www.skysports.com/football/news/11668/11422956/ruben-loftus-cheek-slams-chelsea-for-lack-of-opportunities-given-to-young-players
36	70	Talksport	02/07/2018	en	https://talksport.com/football/393573/tottenham-hotspur-transfer-news-spurs-alex-grimaldo/
37	71	Don Balon	01/07/2018	es	https://www.donbalon.com/noticia/detalle/78471/jugador-barca-quiere-fichar-pone-peligro-estilo-messi-lo-aprueba
37	72	Goal	02/07/2018	en	http://www.goal.com/en-us/news/transfer-news-rumours-live-barcelona-eye-kante-swoop/1vqbim9w9x06u1dxdh9m4z8h0l
38	73	Daily Mail	01/07/2018	en	http://www.dailymail.co.uk/sport/football/article-5907311/West-Brom-want-Sam-Johnstone-replace-Ben-Foster-Manchester-United-demand-5m-goalkeeper.html
39	74	Daily Mirror	01/07/2018	en	https://www.mirror.co.uk/sport/football/transfer-news/wolves-eye-ambitious-juan-quintero-12830468
